Order_ID,Order_Date,Customer_Name,Segment,Region,City,Product_ID,Product_Name,Category,Quantity,Unit_Price,Total_Sales,Cost,Profit,Payment_Type,Sales_Rep,Discount
SUD-2025-1000,15/12/25,Sara Abdalla,Individual,Kassala,Kassala,PRD-106,Stapler Set,Office Supplies,8,60668.53,"485,348 SDG",354886.11,130462.14,Bank,Mona Abdalla,0.0
SUD-2025-1001,2025/03/29,Sara Abdelsalam,Individual,Kassala,Kassala,PRD-102,Dell Latitude 5400,Electronics,5,60909.27,289319.04,203714.43,85604.61,Cash,Omer Abdelrahman,5.0
SUD-2024-1002,"Dec 09, 2024",Rania Abdelsalam,Individual,Kassala,Kassala,PRD-105,A4 Paper 500 Sheets,Office Supplies,6,2.1k,10589.23,8720.19,1869.04,Bank,Mona Abdalla,15.0
SUD-2024-1003,22/01/24,Sara Abdelsalam,Small Business,Red Sea,Port Sudan,PRD-103,Office Desk - Wood,Furniture,9,30540.46,"274,864 SDG",200.1k,74790.86,Bank,Sara Ali,0.0
SUD-2025-1004,09/07/25,Rania Ahmed,Enterprise,Kassala,Kassala,PRD-109,Pen Box (50 pcs),Office Supplies,3,39481.28,100677.25,79872.56,20804.69,Bank,Mona Abdalla,15.0
SUD-2023-1005,2023/11/03,Maha Yousif,Individual,Kassala,Kassala,PRD-105,A4 Paper 500 Sheets,Office Supplies,7,18711.36,130979.55,116542.61,14436.94,Cash,Sara Ali,0.0
SUD-2024-1006,29-08-2024,Ahmed Musa,Small Business,Khartoum,Omdurman,PRD-105,A4 Paper 500 Sheets,Office Supplies,10,"31,852 SDG",318521.49,266553.63,51967.86,Bank,Yasir Hassan,0.0
SUD-2025-1007,2025/09/21,Ali Khalid,Individual,Khartoum,Omdurman,PRD-104,Ergonomic Chair,Furniture,3,91113.4,"273,340 SDG",227556.93,45783.27,,Mona Abdalla,
SUD-2024-1008,23/02/24,Mohamed Abdalla,Small Business,Kassala,Kassala,PRD-108,Meeting Table,Furniture,10,57634.63,"576,346 SDG","500,532 SDG",75814.35,Cash,Fatima Khalid,0.0
SUD-2024-1009,20/07/24,,Small Business,Kassala,Kassala,PRD-107,Canon Printer Ink,Electronics,4,60594.2,218139.11,156558.11,"61,581 SDG",Cash,Sara Ali,10.0
SUD-2025-1010,2025/09/09,Maha Osman,Individual, kassala,Kassala,PRD-104,Ergonomic Chair,Furniture,9,96194.86,822466.04,698655.31,123810.73,,Sara Ali,5.0
SUD-2025-1011,"Feb 22, 2025",Fatima Hassan,Small Business,Khartoum,Khartoum,PRD-104,Ergonomic Chair,Furniture,8,36961.83,295694.61,239080.69,56613.92,Cash,Yasir Hassan,0.0
SUD-2023-1012,06/06/23,Maha Musa,Small Business,Khartoum,Khartoum,PRD-101,HP LaserJet P1102,Electronics,1,3532.37,3.5k,2751.63,780.74,Bank,Mona Abdalla,0.0
SUD-2025-1013,19-05-2025,Huda Yousif,Individual,Red Sea,Port Sudan,PRD-106,Stapler Set,Office Supplies,3,71272.02,203125.26,173520.58,"29,605 SDG",Bank,Mona Abdalla,5.0
SUD-2023-1014,19-08-2023,Nour Ahmed,Enterprise,Red Sea,Port Sudan,PRD-103,Office Desk - Wood,Furniture,10,13355.17,120196.51,99121.21,21075.3,Bank,Sara Ali,10.0
SUD-2024-1015,"Feb 02, 2024",Sara Hassan,Enterprise,Kassala,Kassala,PRD-104,Ergonomic Chair,Furniture,7,32476.27,227333.87,192306.55,"35,027 SDG",Cash,Yasir Hassan,0.0
SUD-2024-1016,04-02-2024,Sara Mohamed,Enterprise,Kassala,Kassala,PRD-110,Desk Lamp,Electronics,1,39526.83,33597.81,29222.8,4375.01,Cash,Omer Abdelrahman,15.0
SUD-2023-1017,2023/08/06,Huda Abdelsalam,Small Business,Red Sea,Port Sudan,PRD-105,A4 Paper 500 Sheets,Office Supplies,7,77554.78,542883.49,436775.05,106108.44,Bank,Yasir Hassan,0.0
SUD-2025-1018,2025/12/12,Khalid Ahmed,Small Business,Red Sea,Port Sudan,PRD-102,Dell Latitude 5400,Electronics,10,45054.98,450549.77,396102.06,54447.71,Bank,Sara Ali,0.0
SUD-2023-1019,"Feb 21, 2023",Ali Abdelsalam,Individual,Red Sea,PORT SUDAN,PRD-106,Stapler Set,Office Supplies,4,90.9k,363766.06,284492.92,79273.14,Cash,Mona Abdalla,0.0
SUD-2025-1020,"Jan 29, 2025",Ahmed Abdalla,Enterprise,Red Sea,Port Sudan,PRD-109,Pen Box (50 pcs),Office Supplies,4,94399.65,377598.6,"316,789 SDG",60809.62,Cash,Omer Abdelrahman,0.0
SUD-2024-1021,18-06-2024,Maha Hassan,Individual, khartoum,Khartoum,PRD-103,Office Desk - Wood,Furniture,9,12338.44,"111,046 SDG",82583.54,28462.4,Bank,Sara Ali,0.0
SUD-2024-1022,2024/11/26,Fatima Musa,Small Business,Red Sea,Port Sudan,PRD-104,Ergonomic Chair,Furniture,10,13964.62,139646.2,123.1k,16.6k,Bank,Sara Ali,0.0
SUD-2023-1023,10/10/23,Khalid Hassan,Small Business,Khartoum,Omdurman,PRD-110,Desk Lamp,Electronics,9,82165.45,665540.12,466803.47,198736.65,Bank,Omer Abdelrahman,10.0
SUD-2025-1024,17-05-2025,Maha Hassan,Enterprise,Red Sea,Port Sudan,PRD-109,Pen Box (50 pcs),Office Supplies,5,69.9k,349293.66,261559.86,87733.8,Cash,Sara Ali,0.0
SUD-2025-1025,09/06/25,Sara Hassan,Enterprise,Red Sea,Port Sudan,PRD-107,Canon Printer Ink,Electronics,8,70895.86,"567,167 SDG",507.2k,59917.54,Bank,Yasir Hassan,0.0
SUD-2024-1026,"Oct 21, 2024",Sara Ali,Small Business,Khartoum,Omdurman,PRD-110,Desk Lamp,Electronics,2,"71,803 SDG",143605.04,129179.64,"14,425 SDG",Cash,Fatima Khalid,0.0
SUD-2025-1027,2025/04/23,Fatima Ali,Small Business,Kassala,Kassala,PRD-104,Ergonomic Chair,Furniture,2,51262.54,102525.09,77481.21,25043.88,Cash,Mona Abdalla,0.0
SUD-2023-1028,2023/05/06,Ahmed Mohamed,Individual,Red Sea,Port Sudan,PRD-107,Canon Printer Ink,Electronics,2,"54,032 SDG",108.1k,"87,594 SDG",20469.48,Cash,Fatima Khalid,0.0
SUD-2025-1029,20/11/25,Sara Hassan,Enterprise,Red Sea,Port Sudan,PRD-102,Dell Latitude 5400,Electronics,7,76638.72,536471.06,453.7k,82807.92,Cash,Fatima Khalid,0.0
SUD-2023-1030,"Apr 08, 2023",Omer Musa,Small Business,Kassala,Kassala,PRD-105,A4 Paper 500 Sheets,Office Supplies,6,41084.8,"234,183 SDG",201320.15,32863.18,Cash,Sara Ali,5.0
SUD-2023-1031,2023/05/04,Nour Hassan,Individual,Kassala,Kassala,PRD-104,Ergonomic Chair,Furniture,6,70189.66,"379,024 SDG",290026.16,88997.98,Bank,Mona Abdalla,10.0
SUD-2025-1032,12/12/25,Fatima Mohamed,Enterprise,Kassala,Kassala,PRD-105,A4 Paper 500 Sheets,Office Supplies,3,81331.1,243993.31,175488.6,68504.71,Bank,Yasir Hassan,0.0
SUD-2023-1033,"May 08, 2023",Fatima Yousif,Enterprise,Khartoum,Khartom,PRD-105,A4 Paper 500 Sheets,Office Supplies,7,"93,800 SDG",656596.77,504406.35,152.2k,Cash,Mona Abdalla,0.0
SUD-2023-1034,"May 31, 2023",Fatima Ahmed,Small Business,Kassala,Kassala,PRD-108,Meeting Table,Furniture,-10,27278.28,-272782.8,"-235,533 SDG",-37250.01,Cash,Sara Ali,0.0
SUD-2023-1035,"Mar 01, 2023",Fatima Khalid,Small Business,Khartoum,Khartoum,PRD-108,Meeting Table,Furniture,1,25701.52,25701.52,22603.03,3098.49,Bank,Omer Abdelrahman,0.0
SUD-2023-1036,2023/06/09,Fatima Abdalla,Enterprise,Red Sea,Port Sudan,PRD-103,Office Desk - Wood,Furniture,7,35224.92,246574.44,208402.53,38.2k,Cash,Mona Abdalla,0.0
SUD-2025-1037,01/06/25,Sara Mohamed,Enterprise,Khartoum,Khartoum,PRD-109,Pen Box (50 pcs),Office Supplies,6,78427.8,"470,567 SDG",337315.47,133251.35,Bank,Fatima Khalid,0.0
SUD-2024-1038,2024/04/13,Khalid Mohamed,Small Business,Red Sea,Port Sudan,PRD-102,Dell Latitude 5400,Electronics,4,58907.29,235629.16,209244.98,26384.18,Cash,Mona Abdalla,0.0
SUD-2023-1039,15-12-2023,Ali Yousif,Individual,Kassala,Kassala,PRD-107,Canon Printer Ink,Electronics,2,17759.19,35518.38,"29,778 SDG","5,741 SDG",Cash,Yasir Hassan,0.0
SUD-2023-1040,2023/06/18,Nour Abdalla,Small Business,Khartoum,Khartoum,PRD-109,Pen Box (50 pcs),Office Supplies,4,71793.56,287174.25,219711.26,67462.99,Cash,Omer Abdelrahman,0.0
SUD-2025-1041,14/07/25,Huda Hassan,Enterprise,Red Sea,Port Sudan,PRD-105,A4 Paper 500 Sheets,Office Supplies,1,32189.96,32189.96,25808.71,6381.25,Bank,Sara Ali,0.0
SUD-2024-1042,"Jan 22, 2024",Nour Ali,Small Business,Red Sea,Port Sudan,PRD-101,HP LaserJet P1102,Electronics,6,97931.5,587589.0,517795.04,69.8k,Bank,Mona Abdalla,0.0
SUD-2025-1043,"Aug 14, 2025",Sara Hassan,Individual,Kassala,Kassala,PRD-109,Pen Box (50 pcs),Office Supplies,5,51258.44,256292.18,"204,650 SDG",51641.97,Bank,Fatima Khalid,0.0
SUD-2023-1044,13/11/23,Eiman Yousif,Enterprise,Kassala,Kassala,PRD-107,Canon Printer Ink,Electronics,3,"58,056 SDG",165460.77,117265.48,48195.29,Cash,Omer Abdelrahman,5.0
SUD-2024-1045,15/02/24,Omer Khalid,Small Business,Kassala,Kassala,PRD-106,Stapler Set,Office Supplies,5,88582.41,420766.47,"374,741 SDG",46025.81,Cash,Sara Ali,5.0
SUD-2023-1046,29/10/23,Maha Osman,Enterprise,Red Sea,Port Sudan,PRD-108,Meeting Table,Furniture,5,58084.66,246859.81,"176,522 SDG",70337.95,Cash,Sara Ali,15.0
SUD-2023-1047,10-06-2023,Rania Mohamed,Enterprise,Red Sea,Port Sudan,PRD-103,Office Desk - Wood,Furniture,3,18610.29,55830.87,49534.88,6295.99,Bank,Yasir Hassan,0.0
