Order_ID,Order_Date,Customer_Name,Segment,Region,City,Product_ID,Product_Name,Category,Quantity,Unit_Price,Total_Sales,Cost,Profit,Payment_Type,Sales_Rep,Discount
SUD-2025-1000,15-12-2025,Eiman Hassan,Enterprise,Kassala,Kassala,PRD-102,Dell Latitude 5400,Electronics,8,60668.53,"485,348 SDG",354886.11,130462.14,Bank,Yasir Hassan,0.0
SUD-2025-1001,29/03/25,Mohamed Hassan,Individual,Khartoum,Omdurman,PRD-102,Dell Latitude 5400,Electronics,5,"60,909 SDG",289.3k,203714.43,85604.61,Bank,Omer Abdelrahman,5.0
SUD-2024-1002,09-12-2024,Huda Mohamed,Enterprise,Khartoum,Omdurman,PRD-107,Canon Printer Ink,Electronics,6,2076.32,10589.23,8720.19,1869.04,Cash,Fatima Khalid,15.0
SUD-2024-1003,22-01-2024,Eiman Osman,Individual,Khartoum,Omdurman,PRD-104,Ergonomic Chair,Furniture,9,30540.46,274864.1,200073.24,74790.86,Bank,Yasir Hassan,0.0
SUD-2025-1004,2025/07/09,Fatima Musa,Small Business,Kassala,Kassala,PRD-101,HP LaserJet P1102,Electronics,3,39481.28,100677.25,79872.56,20804.69,Cash,Yasir Hassan,15.0
SUD-2023-1005,03-11-2023,Huda Hassan,Enterprise,Khartoum,Omdurman,PRD-103,Office Desk - Wood,Furniture,7,18711.36,130979.55,116542.61,14436.94,Bank,Omer Abdelrahman,0.0
SUD-2024-1006,2024/08/29,Ahmed Abdalla,Individual,Khartoum,Khartoum,PRD-105,A4 Paper 500 Sheets,Office Supplies,10,31852.15,318521.49,"266,554 SDG",51967.86,Cash,Omer Abdelrahman,0.0
SUD-2025-1007,"Sep 21, 2025",,Individual,Khartoum,Khartoum,PRD-104,Ergonomic Chair,Furniture,3,91113.4,273340.2,227556.93,45783.27,Cash,Fatima Khalid,0.0
SUD-2024-1008,23-02-2024,Maha Ali,Small Business,Red Sea,Port Sudan,PRD-104,Ergonomic Chair,Furniture,10,57634.63,"576,346 SDG",500531.97,75814.35,Bank,Omer Abdelrahman,0.0
SUD-2024-1009,20/07/24,Fatima Yousif,Enterprise,Red Sea,Port Sudan,PRD-101,HP LaserJet P1102,Electronics,4,60594.2,218139.11,156558.11,61581.0,Bank,Fatima Khalid,10.0
SUD-2025-1010,09-09-2025,Sara Musa,Small Business,Kassala,Kassala,PRD-101,HP LaserJet P1102,Electronics,9,96.2k,822466.04,698655.31,123810.73,Bank,Yasir Hassan,5.0
SUD-2025-1011,22-02-2025,Maha Yousif,Enterprise,Khartoum,Omdurman,PRD-106,Stapler Set,Office Supplies,8,36961.83,295.7k,239080.69,56613.92,Cash,Fatima Khalid,0.0
SUD-2023-1012,06/06/23,Fatima Osman,Individual,Khartoum,Khartoum,PRD-106,Stapler Set,Office Supplies,1,3532.37,3532.37,"2,752 SDG",780.74,Bank,Yasir Hassan,0.0
SUD-2025-1013,2025/05/19,Sara Osman,Enterprise,Khartoum,Khartoum,PRD-109,Pen Box (50 pcs),Office Supplies,3,71272.02,203125.26,173520.58,29604.68,Bank,Omer Abdelrahman,5.0
SUD-2023-1014,19/08/23,Eiman Ali,Small Business,Khartoum,Khartoum,PRD-106,Stapler Set,Office Supplies,10,13355.17,120196.51,99121.21,21.1k,Cash,Sara Ali,10.0
SUD-2024-1015,2024/02/02,Maha Abdalla,Enterprise,Khartoum,Omdurman,PRD-110,Desk Lamp,Electronics,7,32476.27,"227,334 SDG",192306.55,35.0k,Bank,Mona Abdalla,0.0
SUD-2024-1016,04-02-2024,Mohamed Hassan,Individual,Kassala,Kassala,PRD-108,Meeting Table,Furniture,1,39526.83,33597.81,29222.8,4.4k,Bank,Mona Abdalla,15.0
SUD-2023-1017,06-08-2023,Sara Abdelsalam,Enterprise,Khartoum,Omdurman,PRD-109,Pen Box (50 pcs),Office Supplies,7,77554.78,542883.49,436775.05,106108.44,Cash,Yasir Hassan,0.0
